Gene,tumour_suppressor,oncogene
A1CF,FALSE,TRUE
ABL1,FALSE,TRUE
ACVR1,FALSE,TRUE
ACVR2A,TRUE,FALSE
AKT1,FALSE,TRUE
ALK,FALSE,TRUE
AMER1,TRUE,FALSE
ANK1,FALSE,FALSE
APC,TRUE,FALSE
AR,FALSE,TRUE
ARAF,FALSE,TRUE
ARHGAP26,TRUE,FALSE
ARHGAP5,FALSE,TRUE
ARID1A,TRUE,TRUE
ARID1B,TRUE,FALSE
ARID2,TRUE,FALSE
ASXL1,TRUE,FALSE
ASXL2,TRUE,FALSE
ATM,TRUE,FALSE
ATP1A1,TRUE,TRUE
ATR,TRUE,FALSE
ATRX,TRUE,FALSE
AXIN1,TRUE,FALSE
AXIN2,TRUE,FALSE
B2M,TRUE,FALSE
BAP1,TRUE,FALSE
BARD1,TRUE,FALSE
BAX,TRUE,FALSE
BCL2L12,FALSE,TRUE
BCL6,FALSE,TRUE
BCL9L,TRUE,TRUE
BCLAF1,FALSE,FALSE
BCOR,TRUE,TRUE
BCORL1,TRUE,TRUE
BIRC3,TRUE,TRUE
BIRC6,FALSE,TRUE
BLM,TRUE,FALSE
BMP5,FALSE,FALSE
BMPR1A,TRUE,TRUE
BRAF,FALSE,TRUE
BRCA1,TRUE,FALSE
BRCA2,TRUE,FALSE
BRIP1,TRUE,FALSE
BTK,TRUE,TRUE
BUB1B,TRUE,FALSE
CACNA1D,FALSE,TRUE
CALR,FALSE,TRUE
CARD11,FALSE,TRUE
CASP8,TRUE,FALSE
CBL,TRUE,TRUE
CBLB,TRUE,FALSE
CBLC,TRUE,TRUE
CCR4,FALSE,TRUE
CCR7,FALSE,TRUE
CD209,FALSE,FALSE
CD28,FALSE,TRUE
CD79A,FALSE,TRUE
CD79B,FALSE,TRUE
CDC73,TRUE,FALSE
CDH1,TRUE,TRUE
CDH10,TRUE,FALSE
CDH17,FALSE,TRUE
CDK12,TRUE,FALSE
CDK4,FALSE,TRUE
CDKN1A,TRUE,TRUE
CDKN1B,TRUE,FALSE
CDKN2A,TRUE,FALSE
CEBPA,TRUE,TRUE
CHD2,TRUE,FALSE
CHD4,TRUE,TRUE
CHEK2,TRUE,FALSE
CIC,TRUE,TRUE
CNBD1,FALSE,TRUE
CNOT3,TRUE,FALSE
CNTNAP2,TRUE,FALSE
COL2A1,FALSE,FALSE
CREBBP,TRUE,TRUE
CRLF2,FALSE,TRUE
CRNKL1,FALSE,FALSE
CSF1R,FALSE,TRUE
CSF3R,FALSE,TRUE
CSMD3,TRUE,FALSE
CTCF,TRUE,FALSE
CTNNA2,FALSE,TRUE
CTNNB1,FALSE,TRUE
CTNND1,TRUE,FALSE
CTNND2,FALSE,TRUE
CUL3,TRUE,FALSE
CUX1,TRUE,TRUE
CXCR4,FALSE,TRUE
CYLD,TRUE,FALSE
CYP2C8,FALSE,FALSE
CYSLTR2,FALSE,TRUE
DAXX,TRUE,TRUE
DCAF12L2,FALSE,FALSE
DCC,FALSE,FALSE
DDB2,TRUE,TRUE
DDR2,FALSE,TRUE
DDX3X,TRUE,FALSE
DGCR8,FALSE,TRUE
DICER1,TRUE,TRUE
DNM2,TRUE,FALSE
DNMT3A,TRUE,FALSE
DROSHA,TRUE,FALSE
ECT2L,FALSE,FALSE
EED,TRUE,FALSE
EGFR,FALSE,TRUE
EIF1AX,FALSE,TRUE
ELF3,TRUE,FALSE
EP300,TRUE,TRUE
EPAS1,TRUE,TRUE
EPHA3,FALSE,FALSE
EPHA7,FALSE,FALSE
ERBB2,FALSE,TRUE
ERBB3,FALSE,TRUE
ERBB4,TRUE,TRUE
ERCC2,TRUE,TRUE
ERCC3,TRUE,FALSE
ERCC4,TRUE,FALSE
ERCC5,TRUE,FALSE
ESR1,TRUE,TRUE
ETNK1,TRUE,FALSE
EXT1,TRUE,FALSE
EXT2,TRUE,FALSE
EZH2,TRUE,TRUE
FAM135B,FALSE,FALSE
FAM47C,FALSE,FALSE
FANCA,TRUE,FALSE
FANCC,TRUE,FALSE
FANCD2,TRUE,FALSE
FANCE,TRUE,FALSE
FANCF,TRUE,FALSE
FANCG,TRUE,FALSE
FAS,TRUE,FALSE
FAT1,TRUE,FALSE
FAT3,FALSE,FALSE
FAT4,TRUE,FALSE
FBLN2,TRUE,FALSE
FBXO11,TRUE,FALSE
FBXW7,TRUE,TRUE
FES,TRUE,TRUE
FGFR2,FALSE,TRUE
FGFR3,FALSE,TRUE
FGFR4,FALSE,TRUE
FH,TRUE,FALSE
FKBP9,FALSE,FALSE
FLCN,TRUE,FALSE
FLNA,TRUE,FALSE
FLT3,FALSE,TRUE
FOXA1,TRUE,TRUE
FOXL2,TRUE,TRUE
FUBP1,TRUE,TRUE
GATA1,TRUE,TRUE
GATA2,FALSE,TRUE
GATA3,TRUE,TRUE
GLI1,FALSE,TRUE
GNA11,FALSE,TRUE
GNAQ,FALSE,TRUE
GNAS,FALSE,TRUE
GPC3,TRUE,TRUE
GRIN2A,TRUE,FALSE
GRM3,FALSE,TRUE
H3F3A,FALSE,TRUE
H3F3B,FALSE,TRUE
HIF1A,FALSE,TRUE
HIST1H3B,FALSE,TRUE
HNF1A,TRUE,FALSE
HRAS,FALSE,TRUE
ID3,TRUE,FALSE
IDH1,FALSE,TRUE
IDH2,FALSE,TRUE
IKBKB,FALSE,TRUE
IL7R,FALSE,TRUE
IRS4,TRUE,TRUE
ISX,FALSE,FALSE
ITGAV,FALSE,FALSE
JAK1,TRUE,TRUE
JAK2,FALSE,TRUE
JAK3,FALSE,TRUE
KAT7,FALSE,TRUE
KCNJ5,FALSE,TRUE
KDM5C,TRUE,FALSE
KDM6A,TRUE,TRUE
KDR,FALSE,TRUE
KEAP1,TRUE,TRUE
KIT,FALSE,TRUE
KLF4,TRUE,TRUE
KLF6,TRUE,FALSE
KMT2C,TRUE,FALSE
KMT2D,TRUE,TRUE
KNSTRN,FALSE,TRUE
KRAS,FALSE,TRUE
LARP4B,TRUE,FALSE
LATS1,TRUE,FALSE
LATS2,TRUE,FALSE
LEF1,TRUE,TRUE
LRP1B,TRUE,FALSE
LZTR1,TRUE,TRUE
MACC1,FALSE,TRUE
MAP2K1,FALSE,TRUE
MAP2K2,FALSE,TRUE
MAP2K4,TRUE,TRUE
MAP3K1,TRUE,TRUE
MAP3K13,TRUE,TRUE
MAPK1,FALSE,TRUE
MAX,TRUE,TRUE
MB21D2,FALSE,FALSE
MED12,TRUE,TRUE
MEN1,TRUE,FALSE
MET,TRUE,TRUE
MLH1,TRUE,FALSE
MPL,FALSE,TRUE
MSH2,TRUE,FALSE
MSH6,TRUE,FALSE
MTOR,FALSE,TRUE
MUC16,FALSE,TRUE
MUC4,FALSE,TRUE
MUTYH,TRUE,FALSE
MYCN,FALSE,TRUE
MYD88,FALSE,TRUE
MYOD1,FALSE,TRUE
NBEA,FALSE,FALSE
NBN,TRUE,FALSE
NCOR1,TRUE,FALSE
NCOR2,TRUE,FALSE
NF1,TRUE,FALSE
NF2,TRUE,FALSE
NFE2L2,TRUE,TRUE
NFKBIE,TRUE,FALSE
NOTCH1,TRUE,TRUE
NOTCH2,TRUE,TRUE
NPM1,FALSE,TRUE
NRAS,TRUE,TRUE
NT5C2,FALSE,TRUE
NTHL1,TRUE,FALSE
PABPC1,TRUE,TRUE
PALB2,TRUE,FALSE
PAX5,TRUE,TRUE
PBRM1,TRUE,FALSE
PCBP1,FALSE,TRUE
PDGFRA,FALSE,TRUE
PHF6,TRUE,FALSE
PHOX2B,TRUE,FALSE
PIK3CA,FALSE,TRUE
PIK3CB,FALSE,TRUE
PIK3R1,TRUE,TRUE
PIM1,FALSE,TRUE
PLCG1,FALSE,TRUE
PMS1,FALSE,TRUE
PMS2,TRUE,FALSE
POLD1,TRUE,FALSE
POLE,TRUE,FALSE
POLG,TRUE,FALSE
POLQ,TRUE,TRUE
POT1,TRUE,FALSE
PPM1D,FALSE,TRUE
PPP2R1A,TRUE,TRUE
PPP6C,TRUE,TRUE
PRDM1,TRUE,FALSE
PRDM2,TRUE,FALSE
PREX2,FALSE,TRUE
PRF1,TRUE,FALSE
PRKACA,FALSE,TRUE
PRKAR1A,TRUE,TRUE
PRKCB,FALSE,FALSE
PRPF40B,FALSE,FALSE
PTCH1,TRUE,FALSE
PTEN,TRUE,FALSE
PTK6,TRUE,TRUE
PTPN11,FALSE,TRUE
PTPN13,TRUE,FALSE
PTPN6,TRUE,FALSE
PTPRB,TRUE,FALSE
PTPRC,TRUE,TRUE
PTPRD,TRUE,FALSE
PTPRT,TRUE,FALSE
QKI,TRUE,TRUE
RAC1,FALSE,TRUE
RAD21,TRUE,TRUE
RB1,TRUE,FALSE
RBM10,TRUE,FALSE
RECQL4,TRUE,TRUE
RET,FALSE,TRUE
RGPD3,FALSE,FALSE
RGS7,FALSE,FALSE
RHOA,TRUE,TRUE
RNF43,TRUE,FALSE
ROBO2,TRUE,FALSE
RPL10,TRUE,FALSE
RPL5,TRUE,FALSE
S100A7,FALSE,FALSE
SALL4,FALSE,TRUE
SBDS,TRUE,FALSE
SDHA,TRUE,FALSE
SDHAF2,TRUE,FALSE
SDHB,TRUE,FALSE
SDHC,TRUE,FALSE
SDHD,TRUE,FALSE
SETBP1,FALSE,TRUE
SETD1B,TRUE,FALSE
SETD2,TRUE,FALSE
SETDB1,FALSE,TRUE
SF3B1,FALSE,TRUE
SFRP4,TRUE,FALSE
SGK1,FALSE,TRUE
SH2B3,TRUE,FALSE
SIRPA,TRUE,FALSE
SIX1,FALSE,TRUE
SIX2,FALSE,TRUE
SKI,FALSE,TRUE
SMAD2,TRUE,FALSE
SMAD3,TRUE,FALSE
SMAD4,TRUE,TRUE
SMARCA4,TRUE,TRUE
SMARCB1,TRUE,TRUE
SMARCD1,TRUE,FALSE
SMARCE1,TRUE,FALSE
SMC1A,TRUE,TRUE
SMO,FALSE,TRUE
SOCS1,TRUE,FALSE
SPEN,TRUE,FALSE
SPOP,TRUE,TRUE
SRC,FALSE,TRUE
SRSF2,FALSE,TRUE
STAG1,TRUE,FALSE
STAG2,TRUE,FALSE
STAT3,FALSE,TRUE
STAT5B,TRUE,TRUE
STK11,TRUE,FALSE
SUFU,TRUE,FALSE
TBL1XR1,TRUE,TRUE
TBX3,TRUE,TRUE
TENT5C,TRUE,FALSE
TERT,TRUE,TRUE
TET2,TRUE,FALSE
TGFBR2,TRUE,FALSE
TMEM127,TRUE,FALSE
TNC,FALSE,TRUE
TNFAIP3,TRUE,FALSE
TNFRSF14,TRUE,FALSE
TP53,TRUE,TRUE
TP63,TRUE,TRUE
TRAF7,TRUE,FALSE
TRRAP,FALSE,TRUE
TSC1,TRUE,FALSE
TSC2,TRUE,FALSE
TSHR,FALSE,TRUE
U2AF1,FALSE,TRUE
UBR5,FALSE,TRUE
USP8,FALSE,TRUE
VHL,TRUE,FALSE
WAS,FALSE,TRUE
WNK2,TRUE,FALSE
WRN,TRUE,FALSE
WT1,TRUE,TRUE
XPA,TRUE,FALSE
XPC,TRUE,FALSE
XPO1,FALSE,TRUE
ZEB1,FALSE,TRUE
ZFHX3,TRUE,FALSE
ZMYM3,TRUE,FALSE
ZNF429,FALSE,FALSE
ZNF479,FALSE,FALSE
ZNRF3,TRUE,FALSE
ZRSR2,TRUE,FALSE
ACVR1B,TRUE,FALSE
AJUBA,TRUE,FALSE
ALB,TRUE,FALSE
APOB,TRUE,FALSE
ARHGAP35,TRUE,FALSE
ARID5B,TRUE,FALSE
ATF7IP,TRUE,FALSE
ATXN3,TRUE,FALSE
BCL2,FALSE,TRUE
BCL2L11,FALSE,FALSE
BRD7,TRUE,FALSE
BTG2,TRUE,FALSE
CACNA1A,FALSE,TRUE
CBFB,TRUE,FALSE
CBWD3,FALSE,FALSE
CCND1,FALSE,TRUE
CD70,TRUE,FALSE
CDKN2C,TRUE,FALSE
CHD3,TRUE,FALSE
CHD8,TRUE,FALSE
COL5A1,FALSE,TRUE
CREB3L3,TRUE,FALSE
CSDE1,TRUE,FALSE
CUL1,FALSE,TRUE
DACH1,FALSE,TRUE
DAZAP1,TRUE,FALSE
DHX9,FALSE,TRUE
DIAPH2,FALSE,TRUE
DMD,FALSE,TRUE
EEF1A1,FALSE,TRUE
EEF2,TRUE,FALSE
EGR3,FALSE,FALSE
EPHA2,TRUE,FALSE
FAM46D,FALSE,TRUE
FGFR1,FALSE,TRUE
FOXA2,TRUE,FALSE
FOXQ1,TRUE,FALSE
GABRA6,FALSE,FALSE
GNA13,FALSE,TRUE
GPS2,TRUE,FALSE
GRIN2D,FALSE,TRUE
GTF2I,FALSE,TRUE
H3F3C,FALSE,FALSE
HGF,FALSE,FALSE
HIST1H1C,FALSE,FALSE
HIST1H1E,TRUE,TRUE
HLA-A,TRUE,FALSE
HLA-B,TRUE,FALSE
HUWE1,TRUE,FALSE
IL6ST,TRUE,TRUE
INPPL1,TRUE,FALSE
IRF2,TRUE,FALSE
IRF6,TRUE,FALSE
KANSL1,TRUE,FALSE
KEL,FALSE,FALSE
KIF1A,TRUE,FALSE
KLF5,FALSE,TRUE
KMT2A,TRUE,TRUE
KMT2B,TRUE,FALSE
KRT222,TRUE,FALSE
LEMD2,FALSE,FALSE
MACF1,FALSE,TRUE
MAP3K4,TRUE,FALSE
MECOM,FALSE,TRUE
MGA,TRUE,FALSE
MGMT,TRUE,FALSE
MSH3,FALSE,TRUE
MUC6,TRUE,FALSE
MYC,FALSE,TRUE
MYH9,TRUE,TRUE
NIPBL,TRUE,FALSE
NSD1,TRUE,FALSE
NUP133,TRUE,FALSE
NUP93,TRUE,FALSE
PDS5B,TRUE,FALSE
PGR,TRUE,FALSE
PIK3CG,FALSE,TRUE
PIK3R2,FALSE,TRUE
PLCB4,FALSE,TRUE
PLXNB2,FALSE,TRUE
POLRMT,FALSE,TRUE
PSIP1,TRUE,TRUE
PTMA,TRUE,FALSE
PTPDC1,FALSE,TRUE
RAF1,FALSE,TRUE
RARA,FALSE,TRUE
RASA1,TRUE,FALSE
RFC1,TRUE,FALSE
RHEB,FALSE,FALSE
RHOB,FALSE,TRUE
RIT1,FALSE,FALSE
RNF111,TRUE,FALSE
RPL22,TRUE,FALSE
RPS6KA3,TRUE,FALSE
RQCD1,FALSE,TRUE
RRAS2,FALSE,TRUE
RUNX1,TRUE,TRUE
RXRA,FALSE,TRUE
SCAF4,TRUE,FALSE
SF1,FALSE,TRUE
SIN3A,TRUE,FALSE
SMARCA1,TRUE,FALSE
SMC3,FALSE,TRUE
SOS1,FALSE,TRUE
SOX17,FALSE,TRUE
SOX9,TRUE,FALSE
SPTA1,TRUE,FALSE
SPTAN1,TRUE,FALSE
TAF1,FALSE,TRUE
TCEB1,TRUE,FALSE
TCF12,TRUE,FALSE
TCF7L2,TRUE,TRUE
TGIF1,TRUE,FALSE
THRAP3,TRUE,FALSE
TLR4,FALSE,FALSE
TMSB4X,TRUE,FALSE
TRAF3,TRUE,FALSE
TXNIP,TRUE,FALSE
UNCX,FALSE,TRUE
USP9X,TRUE,FALSE
WHSC1,FALSE,TRUE
ZBTB20,TRUE,FALSE
ZBTB7B,TRUE,FALSE
ZC3H12A,FALSE,FALSE
ZCCHC12,FALSE,TRUE
ZFP36L1,TRUE,FALSE
ZFP36L2,TRUE,FALSE
ZMYM2,TRUE,FALSE
ZNF133,FALSE,TRUE
ZNF750,TRUE,FALSE
ABCB9,FALSE,FALSE
AKR1B1,FALSE,FALSE
ARHGEF12,TRUE,FALSE
ATF2,FALSE,FALSE
CGREF1,FALSE,FALSE
CMTR2,TRUE,FALSE
COL5A2,FALSE,FALSE
DARC,FALSE,FALSE
DCAF8,FALSE,FALSE
DOK1,FALSE,FALSE
DOT1L,FALSE,FALSE
DSN1,FALSE,FALSE
ELL2,FALSE,FALSE
FAM173B,FALSE,FALSE
FANCM,FALSE,FALSE
FCGR3B,FALSE,FALSE
GPR137B,FALSE,FALSE
HAVCR2,FALSE,FALSE
HOXB3,FALSE,FALSE
ITGBL1,FALSE,FALSE
KARS,FALSE,FALSE
KLHL5,FALSE,FALSE
MAPK7,FALSE,FALSE
MDM2,FALSE,TRUE
NBPF1,FALSE,FALSE
NCOA6,FALSE,FALSE
PASK,FALSE,FALSE
PDYN,FALSE,FALSE
PIK3R3,FALSE,FALSE
PPP3CA,FALSE,FALSE
PTPRU,FALSE,FALSE
RBM45,FALSE,FALSE
SERPINB13,FALSE,FALSE
SERPINB5,FALSE,FALSE
SGK223,FALSE,FALSE
SLC4A5,FALSE,FALSE
STC2,FALSE,FALSE
STIM1,FALSE,FALSE
STX2,FALSE,FALSE
TPK1,FALSE,FALSE
ZBTB24,FALSE,FALSE
ZNF597,FALSE,FALSE
SFTPB,TRUE,FALSE
DUSP22,TRUE,FALSE
FAM78B,FALSE,TRUE
P2RY10,TRUE,FALSE
RBM5,FALSE,FALSE
NPRL2,TRUE,FALSE
